user;Category;Title;description;due_date;estimated_time_in_minutes
1;1;Hilfe am PC, Dateien ordnen etc;Hilfe am PC, Dateien ordnen etc;08.10.2018;60
2;2;Laub einer Kastanie entfernen;Laub einer Kastanie entfernen;07.10.2018;120
3;2;Hilfe im Garten und evtl im Haushalt.;Hilfe im Garten und evtl im Haushalt.;10.10.2018;30
4;2;Hilfe im Garten ;AB HERBST - Hilfe im Garten (Laub harken etc.);12.11.2018;60
5;1;Hilfe am PC und Tablett;Hilfe am PC und Tablett;25.11.2018;30
6;3;Einkaufen, Spazierengehen;2 mal die Woche einkaufen und einmal Spazierengehen;07.10.2018;90
7;2;Hilfe im Garten, evtl. auch Einkäufe.;Hilfe im Garten, evtl. auch Einkäufe.;14.12.2018;20
8;2;Laub harken;Laub harken;12.10.2018;75
9;2;leichte Gartenarbeit ;leichte Gartenarbeit - Unkraut ziehen, Wege säubern;22.10.2018;60
10;2;leichte Gartenarbeit.;leichte Gartenarbeit.;29.11.2018;90
1;2;Rasen mähen;Rasen mähen;21.11.2018;30
2;1;Smartphone erklären;vor allem das Smartphone erklären, womöglich auch den PC-Umgang;25.11.2018;30
3;2;kleine Frühjahrshilfen im Garten;kleine Frühjahrshilfen im Garten;29.11.2018;90
4;2;Unkraut beseitigen im Garten und kleine Hausarbeiten;Unkraut beseitigen im Garten und kleine Hausarbeiten;18.12.2018;120
5;2;Unkraut etc;Unkraut etc;08.10.2018;60
6;2;Rasen mähen, Blumen einpflanzen, Unkraut beseitigen. ;Rasen mähen, Blumen einpflanzen, Unkraut beseitigen. ;23.11.2018;30
7;2;Rasenmähen, Blumenpflege, Einsammeln von Heckenschnitt;Rasenmähen, Blumenpflege, Einsammeln von Heckenschnitt;03.12.2018;60
8;4;Umzugshilfe innerhalb des Hauses;Es sollen aus dem Keller in den 1. Stock über 2 Treppen eine Schlafcouchgarnitur (3 Teile) gebracht werden und anschließend vom 1. Stock ins Erdgeschoss bzw. in die Garage ein Schreibtisch und 2 große Schreibtischstühle. PS: Das Treppenhaus ist mit ...;14.11.2018;120
9;5;Umzugshilfe;Umzugshilfe;30.12.2018;30
10;1;Hilfe bei der Bedienung neuer Fernseher;Ein neuer digitaler Fernseher ist bereits eingerichtet. Hilfe bei der Bedienung (auch bei der Mediathek und einem zusätzlichen Gerät zur Aufnahme von Sendungen) Bei einem älteren Fernseher (ca. 3 Jahre alt): Prüfung, ob digitale Sendersuche möglich ...;10.12.2018;60
1;1;Hilfe am PC. Smartphone;Hilfe am PC. Smartphone;21.11.2018;30
2;1;Hilfe bei PC;Hilfe bei PC: Fotos auf PC laden, Fotos auf Stick laden, Fotos aus e-mail in Datei-Ordner transportieren, Datenmüll erkennen und entfernen, Amazon und Ebay nutzen;13.11.2018;90
3;1;Hilfe fürs Smartphone + PC ;Hilfe fürs Smartphone + PC (evtl. bei den Vögeln);22.10.2018;20
4;1;Hilfe beim Laptop;Nachhilfe Handy & PC;08.12.2018;75
5;1;Nachhilfe Handy & PC;Nachhilfe Handy & PC;17.11.2018;60
6;1;Handhabung des Smartphones;Handhabung des Smartphones;22.12.2018;90
7;2;Rasen mähen, Unkraut usw.;AB MÄRZ! Rasen mähen, Unkraut usw.;01.12.2018;30
8;2;Efeu an der Hauswand entfernen;Efeu an der Hauswand entfernen;05.12.2018;30
9;2;Gartenarbeit wie zB Unkraut jäten;Gartenarbeit wie zB Unkraut jäten;20.10.2018;90
10;2;Gartenarbeit, -reinigung;Gartenarbeit, -reinigung;06.10.2018;120
1;2;leichte Gartenarbeit;leichte Gartenarbeit (am besten einen großen Jungen mit langen Armen);14.10.2018;60
2;2;leichte Gartenarbeit, Rasen mähen ;leichte Gartenarbeit, Rasen mähen etc. Evtl noch Organisationsarbeit am Laptop. Am liebsten einen Jungen von 15-17 Jahren.;16.11.2018;30
3;1;beim smartphone helfen;beim smartphone helfen: RegenApp, Ordner für Photos...und anderes evtl. Neues Navi: Registrierung für Karten und Hilfe beim Umgang mit dem PC;28.11.2018;60
4;1;Hilfestellung bei der Benutzung von Computer und Smartphone;Hilfestellung bei der Benutzung von Computer und Smartphone;08.10.2018;120
5;1;Lap-Top, Musikanlage, Telefon;Lap-Top, Musikanlage, Telefon;25.12.2018;30
6;1;PC (Laptop) WIN 10;PC (Laptop) WIN 10;26.10.2018;60
7;2;Gartenarbeit;Gartenarbeit;14.12.2018;30
8;2;kleine Hilfen im Garten;kleine Hilfen im Garten;03.12.2018;90
9;2;Kleine Unterstützung im Garten;Kleine Unterstützung im Garten, 2 Hühner vorhanden,;13.11.2018;20
10;2;Kleinere Arbeiten im Garten.;Kleinere Arbeiten im Garten.;08.11.2018;75
1;2;leichte Gartenarbeit, sowie auch Hilfen im Haushalt;leichte Gartenarbeit, sowie auch Hilfen im Haushalt;07.10.2018;60
2;2;Rasen schneiden;Rasen schneiden, alle 2 Wochen (bei Bedarf sonstige Hilfe im Garten);11.10.2018;90
3;1;Einführung in die Handhabung des I-Phones;Einführung in die Handhabung des I-Phones;07.11.2018;30
4;1;Hilfe mit dem Handy, evtl. auch mit dem PC;Hilfe mit dem Handy, evtl. auch mit dem PC;13.10.2018;30
5;2;Hilfe bei noch vielen kleineren Aufgaben im Haus u.ä.;Hilfe bei noch vielen kleineren Aufgaben im Haus u.ä.;08.11.2018;90
6;2;Hilfe im Garten;Hilfe im Garten, Terrasse fegen, Unkraut jäten,etc.;05.11.2018;120
7;2;Laub fegen;Laub fegen;03.11.2018;60
8;1;beim Computer helfen;beim Computer helfen;24.10.2018;30
9;1;PC bereinigen;PC bereinigen;19.10.2018;60
10;1;PC bereinigen;PC bereinigen;19.10.2018;120
1;1;PC und Handy Hilfe;PC und Handy Hilfe;07.10.2018;30
2;1;Programmseinstellung beim Fernseher;Programmseinstellung beim Fernseher;25.11.2018;60
3;6;Spazieren gehen. ;Spazieren gehen. ;08.11.2018;30
4;7;Einkaufen, evtl. Rasenmähen ;Einkaufen, evtl. Rasenmähen ;08.10.2018;90
5;2;1. Moos im Garten entfernen. 2. Smartphone erklären.;1. Moos im Garten entfernen. 2. Smartphone erklären.;14.11.2018;20
6;2;Einfache Arbeiten, wie fegen und Unkraut entfernen;Einfache Arbeiten, wie fegen und Unkraut entfernen;16.10.2018;75
7;2;Gartenarbeit für kräftigen Jungen;Gartenarbeit für kräftigen Jungen;06.11.2018;60
8;2;Hilfe im Garten;Hilfe im Garten;24.12.2018;90
9;2;Kleine Hilfen im Garten und Haushalt.;Kleine Hilfen im Garten und Haushalt.;27.11.2018;30
10;2;Kleine Hilfen und Unkraut jäten;Kleine Hilfen und Unkraut jäten;06.12.2018;30
1;2;leichte Gartenarbeit, Unkraut zupfen;leichte Gartenarbeit, Unkraut zupfen;11.12.2018;90
2;2;Rasen mähen ca 50min.;Rasen mähen ca 50min.;18.12.2018;120
3;2;Rasen mähen plus Kleinigkeiten im Haushalt;Rasen mähen plus Kleinigkeiten im Haushalt;07.10.2018;60
4;2;Rasen schneiden, Unkraut, Büsche schneiden;Rasen schneiden, Unkraut, Büsche schneiden;14.12.2018;30
5;2;Rasenmähen;Rasenmähen;11.11.2018;60
6;2;Rasenmähen, evtl. Begleitung beim Einkaufen, Gartenarbeit allgemein, Gardinen waschen;Rasenmähen, evtl. Begleitung beim Einkaufen, Gartenarbeit allgemein, Gardinen waschen;26.11.2018;120
7;2;Rein tragen von Gartenmöbeln, Laub fegen, Beschneiden von Plfanzen. ;Rein tragen von Gartenmöbeln, Laub fegen, Beschneiden von Plfanzen. Würde sich über Tipps für den Umgang am PC freuen.;08.11.2018;30
8;4;Dazu Aufgaben im Garten und evtl Einkaufsbegleitung.;Dazu Aufgaben im Garten und evtl Einkaufsbegleitung.;08.11.2018;60
9;4;Generell zur Hand gehen, sei es Einkaufen oder im Haushalt aushelfen;Generell zur Hand gehen, sei es Einkaufen oder im Haushalt aushelfen;06.12.2018;30
10;4;Hilfe im Garten und Haushalt, u. a. Rasenmähen, Unkraut jäten, fegen und allgemeine Aufräumarbeiten, Lampen putzen, Gardinen abnehmen (kein Putzen!).;Hilfe im Garten und Haushalt, u. a. Rasenmähen, Unkraut jäten, fegen und allgemeine Aufräumarbeiten, Lampen putzen, Gardinen abnehmen (kein Putzen!).;11.11.2018;90
1;4;Staubsaugen.;Staubsaugen.;16.12.2018;20
2;1;Einrichtung einer Email-Adresse;Einrichtung einer Email-Adresse;28.11.2018;75
3;1;Gartenhütte aufbauen.;Gartenhütte aufbauen.;20.12.2018;60
4;1;Gartenhütte aufbauen.;Gartenhütte aufbauen.;20.12.2018;90
5;1;Hilfe mit Fernbedienung des Druckers.;Hilfe mit Fernbedienung des Druckers.;22.11.2018;30
6;1;Urlaubsbilder vom Smartphone aufs Tablet oder den PC ziehen und verwalten;Urlaubsbilder vom Smartphone aufs Tablet oder den PC ziehen und verwalten;30.11.2018;30
7;6;Mit dem Labrador spazieren gehen.;Mit dem Labrador spazieren gehen.;06.12.2018;90
8;3;Gesellschaft leisten, reden, spazieren.;Gesellschaft leisten, reden, spazieren.;03.11.2018;120
9;7;Einkaufshilfe und noch kleine Hilfen im Haushalt.;Einkaufshilfe und noch kleine Hilfen im Haushalt.;29.10.2018;60
10;2;der Balkon reinigen;der Balkon (Dachterrasse) ist ca. 2 x 20 m groß. - Unkraut aus den Fugen zwischen den Balkonfliesen entfernen. - Fliesen mit Besen und Schrubber/ Wasser reinigen - Balkongeländer abwaschen;19.11.2018;30
1;2;Laub fegen;Laub fegen;17.11.2018;60
2;2;Obstbäume/Jungtriebe abschneiden, sowie den Wasserhahn aufdrehen;Obstbäume/Jungtriebe abschneiden, sowie den Wasserhahn aufdrehen;04.11.2018;120
3;2;Unkraut jäten und leichte Hilfen im Haushalt;Unkraut jäten und leichte Hilfen im Haushalt;01.12.2018;30
4;2;Vorgarten pflegen ;Vorgarten pflegen;15.10.2018;60
5;4;Blumengießen;Blumengießen vom 16.-30. Aug., 2x in zwei Wochen;25.12.2018;30
6;4;Appartement staubsaugen;ca. 2x im Monat 1 Stunde Appartement staubsaugen;25.11.2018;90
7;4;Fegen, wischen, evtl auch kleine Hilfen im Garten, evtl Einkaufen;Fegen, wischen, evtl auch kleine Hilfen im Garten, evtl Einkaufen;08.11.2018;20
8;4;Flur und Eingang fegen, Altglas und Pfandflaschen wegbringen, Rasen mähen;Flur und Eingang fegen, Altglas und Pfandflaschen wegbringen, Rasen mähen;25.12.2018;75
9;4;Gardinen aufhängen, Schränke oben abwischen.;Gardinen aufhängen, Schränke oben abwischen.;15.11.2018;60
10;4;Keller aufräumen ;Keller aufräumen in Verbindung mit dem Sperrmülltermin am 28.6. Wunschtermine= 26./27.6. nachmittags ZWEI Jugendliche benötigt;10.11.2018;90
1;4;Keller aufräumen ;Keller aufräumen in Verbindung mit dem Sperrmülltermin am 28.6. Wunschtermine= 26./27.6. nachmittags ZWEI Jugendliche benötigt;17.10.2018;30
2;4;kleine Hilfen Wohnung;kleine Hilfen in der 47qm Wohnung;03.12.2018;30
3;4;Überweisungen ausfüllen, Schreiben sortieren, Mal einen Knopf annähen;Überweisungen ausfüllen, Schreiben sortieren, Mal einen Knopf annähen;28.11.2018;90
4;5;Kartenspiele;"Kartenspiele: Canaster; Würfelspiele: Kniffel, Backgamon";22.11.2018;120
5;1;Einführung ins Internet;Einführung ins Internet;17.10.2018;60
6;1;Einsetzen von Druckerpatronen;Einsetzen von Druckerpatronen;18.11.2018;30
7;1;Erklärung für das Smartphone und den PC;Erklärung für das Smartphone und den PC;08.11.2018;60
8;1;Hilfe am Computer;Hilfe am Computer;26.12.2018;120
9;1;Hilfe am Computer;Hilfe am Computer;26.12.2018;30
10;1;Hilfe am PC;Hilfe am PC. möchte zum Beispiel u.a. “Buchdrucken” und “Kopieren” lernen;06.10.2018;60
1;1;Hilfe am PC;Hilfe am PC: wie schließe ich einen Drucker an?;15.11.2018;30
2;1;Hilfe bei Tablet/Computer/Smartphone;Hilfe bei Tablet/Computer/Smartphone;29.11.2018;90
3;1;Hilfe beim Smartphone;Hilfe beim Smartphone;06.11.2018;20
4;1;Hilfe beim Umgang mit dem Tablet ;Hilfe beim Umgang mit dem Tablet (Apple);24.11.2018;75
5;1;PC-Reinigung, Fragen zu meinem Handy ;PC-Reinigung, Fragen zu meinem Handy Samsung Galasey S 3 mini;24.10.2018;60
6;1;PC ordnen/löschen;PC ordnen/löschen;10.11.2018;90
7;1;PC, Keller aufräumen, Garten ;PC, Keller aufräumen, Garten (im Frühjahr);19.12.2018;30
8;6;Den Hund betreuen und evtl mit ihm Gassi gehen.;Den Hund (Chiwawa) betreuen und evtl mit ihm Gassi gehen.;09.10.2018;30
9;6;Spazieren gehen mit der Jack-Russel Terrierhündin.;Spazieren gehen mit der Jack-Russel Terrierhündin.;13.12.2018;90
10;6;(Blinden)Hund spazieren führen;(Blinden)Hund spazieren führen;11.11.2018;120
1;7;kleiner Einkäufe erledigen, eventuell spazieren gehen;kleiner Einkäufe erledigen, eventuell spazieren gehen;11.11.2018;60
2;2;Gartenarbeit;Gartenarbeit;09.10.2018;30
3;2;Gartenarbeit;Gartenarbeit;22.10.2018;60
4;2;Gartenarbeit;Gartenarbeit;12.12.2018;120
5;2;Gartenarbeit und bei Bedarf PC Arbeiten mit Kubuntu (Linux) evtl. auch Programmierung ;Gartenarbeit und bei Bedarf PC Arbeiten mit Kubuntu (Linux) evtl. auch Programmierung ;17.10.2018;30
6;2;Hilfe im Garten;Hilfe im Garten;11.10.2018;60
7;2;Hilfe im Garten;Hilfe im Garten;22.10.2018;30
8;2;Hilfe im Schrebergarten;Hilfe im Schrebergarten;14.11.2018;90
9;2;kleine Arbeit im Garten;kleine Arbeit im Garten ;18.11.2018;20
10;2;kleine Hilfen im Garten;kleine Hilfen im Garten;05.12.2018;75
1;2;Rasen mähen evtl. Beete und Teich reinigen;Rasen mähen evtl. Beete und Teich reinigen;01.11.2018;60
2;2;Rasen mähen evtl. Beete und Teich reinigen;Rasen mähen evtl. Beete und Teich reinigen;01.11.2018;90
3;2;Rasenmähen, kleine Gartenarbeiten, Reinigungsarbeiten im Garten, Einkäufe;Rasenmähen, kleine Gartenarbeiten, Reinigungsarbeiten im Garten, Einkäufe;26.10.2018;30
4;4;Die Oberschränke in der Küche putzen;Die Oberschränke in der Küche putzen;17.12.2018;30
5;4;Gartenarbeit, Einkaufen, kleinen Hund ausführen, Hilfe im Haushalt;Gartenarbeit, Einkaufen, kleinen Hund ausführen, Hilfe im Haushalt;22.12.2018;90
6;4;Hilfe beim Bügeln;Hilfe beim Bügeln;27.10.2018;120
7;4;Hilfe beim Staubsaugen, Einkaufen, Müll entsorgen etc;Hilfe beim Staubsaugen, Einkaufen, Müll entsorgen etc;17.11.2018;60
8;1;Computer und Drucker einrichten.;Computer und Drucker einrichten.;06.11.2018;30
9;1;Einarbeiten ins Handy (Apple), Tablet u.a.;Einarbeiten ins Handy (Apple), Tablet u.a.;10.12.2018;60
10;1;"Einrichten eines neuen Ordners; Speichern , Ordnen und beschriften von Fotos usw";"Einrichten eines neuen Ordners; Speichern , Ordnen und beschriften von Fotos usw. (der Mann Andreas Döpp) in Kinderhaus";10.11.2018;120
1;1;Smartphone Hilfe;Hat ein Smartphone bekommen und kommt damit nicht zurecht. Das Betriebssystem ist Win10.;22.10.2018;30
2;1;Hilfe beim ordnen und einstellen des Emailkontos;Hilfe beim ordnen und einstellen des Emailkontos;14.10.2018;60
3;1;Hilfe beim Umgang mit dem Smartphone;Hilfe beim Umgang mit dem Smartphone;05.12.2018;30
4;1;Hilfe beim Umgang mit Skype, Fotos, sowie generelle Unterstützung am PC;Hilfe beim Umgang mit Skype, Fotos, sowie generelle Unterstützung am PC (Windows 10);05.12.2018;90
5;1;Hilfe beim Umgang und der Einrichtung des Handys und Laptops;Hilfe beim Umgang und der Einrichtung des Handys und Laptops;03.12.2018;20
6;1;PC;PC;19.10.2018;75
7;1;Smartphone erklären;Smartphone erklären;21.10.2018;60
8;1;"Unterstützung beim ""Begreifen"" des Smartphones. ";"Unterstützung beim ""Begreifen"" des Smartphones. Das Teil ""beherrscht"" mich. Leider haben wir keine Kinder/Enkel, welche wir um Unterstützung bitten können. Es hapert bei meiner Frau und bei mir z. B. beim Einstellen, wie Kalender, Kontakte usw. Ic...";12.12.2018;90
9;6;Gassi gehen;Gassi gehen: kleiner Hund, 2-3 Mal pro Woche je 30 Minuten;02.11.2018;30
10;6;Mit dem Hund spazieren gehen.;Mit dem Hund spazieren gehen.;14.11.2018;30
1;7;Einkaufshilfe;Einkaufshilfe;01.12.2018;90
2;7;gelegentliche Hilfe beim Einkaufen;gelegentliche Hilfe beim Einkaufen für eine leicht demente Dame Kontakt über den Sohn!;20.11.2018;120
3;7;Kleine Besorgungen ;Kleine Besorgungen (Briefkasten, Lebensmittel, Apotheke, u.ä.);16.12.2018;60
4;2;Bewässern ;Bewässern ab 19.12.18;05.12.2018;30
5;2;Entfernung von Unkraut und sonstiger leichter Gartenarbeit;Entfernung von Unkraut und sonstiger leichter Gartenarbeit. Der Einsatz von Maschinen ist nicht nötig. Leichte Arbeitshandschuhe wären vorteilhaft, könnte ich auch besorgen, wenn die Größe der Hände bekannt sind;05.12.2018;60